name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
3321,"-69.515183895625,-22.35213017815","-69.5152050832,-22.3521214621","-69.5152050829,-22.352138895","-69.515162708,-22.3521388942","-69.5151627084,-22.3521214613",179.99893610169175,0.004357837821918377
3322,"-69.51518389524999,-22.352147611","-69.5152050829,-22.352138895","-69.5152050825,-22.3521563278","-69.5151627076,-22.352156327","-69.515162708,-22.3521388942",179.99878411492136,0.004357842418810724
3323,"-69.515183894875,-22.35216504385","-69.5152050825,-22.3521563278","-69.5152050821,-22.3521737607","-69.5151627073,-22.3521737599","-69.5151627076,-22.352156327",179.99893610195812,0.0043578367322316845
3324,"-69.515183894525,-22.3521824767","-69.5152050821,-22.3521737607","-69.5152050818,-22.3521911935","-69.5151627069,-22.3521911927","-69.5151627073,-22.3521737599",179.9989361153244,0.0043578361870214065
3325,"-69.51518389415,-22.352199909550002","-69.5152050818,-22.3521911935","-69.5152050814,-22.3522086264","-69.5151627065,-22.3522086256","-69.5151627069,-22.3521911927",179.99878412235228,0.004357840783179891
3326,"-69.51518388065,-22.35221953965","-69.5152050683,-22.3522108236","-69.5152050679,-22.3522282565","-69.515162693,-22.3522282557","-69.5151626934,-22.3522108228",179.9987841225235,0.00435784016998067
3327,"-69.515183880275,-22.3522369725","-69.5152050679,-22.3522282565","-69.5152050676,-22.3522456893","-69.5151626926,-22.3522456885","-69.515162693,-22.3522282557",179.99893607706844,0.004357844766135641
3328,"-69.51518387992499,-22.352254405350003","-69.5152050676,-22.3522456893","-69.5152050672,-22.3522631222","-69.5151626923,-22.3522631214","-69.5151626926,-22.3522456885",179.99893612197639,0.004357844220923699
3329,"-69.51518387955,-22.352271838225","-69.5152050672,-22.3522631222","-69.5152050668,-22.352280555","-69.5151626919,-22.3522805543","-69.5151626923,-22.3522631214",179.99878411949248,0.004357838533506942
3330,"-69.515183879175,-22.352289271074998","-69.5152050668,-22.352280555","-69.5152050665,-22.3522979879","-69.5151626915,-22.3522979871","-69.5151626919,-22.3522805543",179.99893609941927,0.004357843130389496
3331,"-69.5151838788,-22.352306703925","-69.5152050665,-22.3522979879","-69.5152050661,-22.3523154207","-69.5151626911,-22.35231542","-69.5151626915,-22.3522979871",179.9987841004609,0.004357847727271001
3332,"-69.5151838784,-22.352324136775","-69.5152050661,-22.3523154207","-69.5152050657,-22.3523328536","-69.5151626907,-22.3523328528","-69.5151626911,-22.35231542",179.99878413928496,0.004357847182056158
3333,"-69.51518387805,-22.35234156965","-69.5152050657,-22.3523328536","-69.5152050654,-22.3523502865","-69.5151626904,-22.3523502857","-69.5151626907,-22.3523328528",179.99908810235917,0.004357846636946529
3334,"-69.51518387770001,-22.352359002525","-69.5152050654,-22.3523502865","-69.515205065,-22.3523677193","-69.51516269,-22.3523677186","-69.5151626904,-22.3523502857",179.99878410091742,0.004357846091623699
3335,"-69.5151838773,-22.352376435375","-69.515205065,-22.3523677193","-69.5152050646,-22.3523851522","-69.5151626896,-22.3523851514","-69.51516269,-22.3523677186",179.99878413974136,0.004357845546407646
3336,"-69.5151838769,-22.352393868225","-69.5152050646,-22.3523851522","-69.5152050642,-22.352402585","-69.5151626892,-22.3524025843","-69.5151626896,-22.3523851514",179.99878410122176,0.004357845001191192
3337,"-69.51518387655,-22.3524113011","-69.5152050642,-22.352402585","-69.5152050639,-22.3524200179","-69.5151626889,-22.3524200172","-69.5151626892,-22.3524025843",179.9990881028155,0.004357844455867152
3338,"-69.5151838762,-22.352428733975","-69.5152050639,-22.3524200179","-69.5152050635,-22.3524374508","-69.5151626885,-22.35243745","-69.5151626889,-22.3524200172",179.99878410152587,0.004357843910755502
3339,"-69.5151838758,-22.352446166824997","-69.5152050635,-22.3524374508","-69.5152050631,-22.3524548836","-69.5151626881,-22.3524548829","-69.5151626885,-22.35243745",179.99878414034953,0.00435784336553784
3340,"-69.51518387542501,-22.352463599674998","-69.5152050631,-22.3524548836","-69.5152050628,-22.3524723165","-69.5151626877,-22.3524723157","-69.5151626881,-22.3524548829",179.9989361007502,0.004357847962408639
3341,"-69.51518387505,-22.352481032525","-69.5152050628,-22.3524723165","-69.5152050624,-22.3524897493","-69.5151626873,-22.3524897486","-69.5151626877,-22.3524723157",179.99878412131818,0.00435785255927839
3342,"-69.515183874675,-22.352498465399997","-69.5152050624,-22.3524897493","-69.515205062,-22.3525071822","-69.515162687,-22.3525071815","-69.5151626873,-22.3524897486",179.99893610450397,0.004357846871863465
3343,"-69.51518387432499,-22.35251589825","-69.515205062,-22.3525071822","-69.5152050617,-22.352524615","-69.5151626866,-22.3525246143","-69.515162687,-22.3525071815",179.9989360791982,0.004357846327373623
3344,"-69.51518387395,-22.3525333311","-69.5152050617,-22.352524615","-69.5152050613,-22.3525420479","-69.5151626862,-22.3525420472","-69.5151626866,-22.3525246143",179.99878412526186,0.004357850923509512
3345,"-69.51508179305,-22.35088218285","-69.5151029803,-22.3508734668","-69.5151029799,-22.3508908997","-69.5150606058,-22.3508908989","-69.5150606062,-22.350873466",179.99878413019053,0.004357799721647857
3346,"-69.51508179265,-22.3508996157","-69.5151029799,-22.3508908997","-69.5151029795,-22.3509083325","-69.5150606054,-22.3509083317","-69.5150606058,-22.3508908989",179.99878408469527,0.004357799176477559
3347,"-69.51508179225,-22.350917048550002","-69.5151029795,-22.3509083325","-69.5151029791,-22.3509257654","-69.515060605,-22.3509257646","-69.5150606054,-22.3509083317",179.9987841304943,0.004357798631306859
3348,"-69.51508179185001,-22.350934481449997","-69.5151029791,-22.3509257654","-69.5151029787,-22.3509431983","-69.5150606046,-22.3509431975","-69.515060605,-22.3509257646",179.99878409197464,0.00435779808613419
3349,"-69.51508179145,-22.3509519143","-69.5151029787,-22.3509431983","-69.5151029783,-22.3509606311","-69.5150606042,-22.3509606303","-69.5150606046,-22.3509431975",179.998784123824,0.004357797540962682
3350,"-69.51508179105001,-22.35096934715","-69.5151029783,-22.3509606311","-69.5151029779,-22.350978064","-69.5150606038,-22.3509780632","-69.5150606042,-22.3509606303",179.99878409227847,0.004357796995790771
3351,"-69.51508179065,-22.35098678005","-69.5151029779,-22.350978064","-69.5151029775,-22.3509954969","-69.5150606034,-22.3509954961","-69.5150606038,-22.3509780632",179.9987841117669,0.004357796450616892
3352,"-69.51508179025001,-22.3510042129","-69.5151029775,-22.3509954969","-69.5151029771,-22.3510129297","-69.515060603,-22.3510129289","-69.5150606034,-22.3509954961",179.99878408560818,0.004357795905444174
3353,"-69.51508178985,-22.351021645750002","-69.5151029771,-22.3510129297","-69.5151029767,-22.3510303626","-69.5150606026,-22.3510303618","-69.515060603,-22.3510129289",179.9987841314068,0.004357795360271053
3354,"-69.51508178945,-22.35103907865","-69.5151029767,-22.3510303626","-69.5151029764,-22.3510477955","-69.5150606021,-22.3510477947","-69.5150606026,-22.3510303618",179.99878409288738,0.004357805099378841
3355,"-69.51508178905,-22.35105651155","-69.5151029764,-22.3510477955","-69.515102976,-22.3510652284","-69.5150606017,-22.3510652276","-69.5150606021,-22.3510477947",179.99878411237518,0.004357814837754211
3356,"-69.51508178865,-22.3510739444","-69.515102976,-22.3510652284","-69.5151029756,-22.3510826612","-69.5150606013,-22.3510826604","-69.5150606017,-22.3510652276",179.99878410555283,0.004357814292577306
3357,"-69.51508178825,-22.35109137725","-69.5151029756,-22.3510826612","-69.5151029752,-22.3511000941","-69.5150606009,-22.3511000933","-69.5150606013,-22.3510826604",179.99878411267963,0.004357813747399997
3358,"-69.51508178785,-22.351108810150002","-69.5151029752,-22.3511000941","-69.5151029748,-22.351117527","-69.5150606005,-22.3511175262","-69.5150606009,-22.3511000933",179.99878409349571,0.004357813202220722
3359,"-69.51508178744999,-22.351126243","-69.5151029748,-22.351117527","-69.5151029744,-22.3511349598","-69.5150606001,-22.351134959","-69.5150606005,-22.3511175262",179.99878412534514,0.004357812657042607
3360,"-69.51508178705001,-22.351143675850004","-69.5151029744,-22.3511349598","-69.515102974,-22.3511523927","-69.5150605997,-22.3511523919","-69.5150606001,-22.351134959",179.9987841131359,0.00435781211113336
3361,"-69.51508178665,-22.35116110875","-69.515102974,-22.3511523927","-69.5151029736,-22.3511698256","-69.5150605993,-22.3511698248","-69.5150605997,-22.3511523919",179.99878409395194,0.0043578115659528745
3362,"-69.51508178625,-22.3511785416","-69.5151029736,-22.3511698256","-69.5151029732,-22.3511872584","-69.5150605989,-22.3511872576","-69.5150605993,-22.3511698248",179.99878412580148,0.004357811020773548
3363,"-69.51508178585,-22.35119597445","-69.5151029732,-22.3511872584","-69.5151029728,-22.3512046913","-69.5150605985,-22.3512046905","-69.5150605989,-22.3511872576",179.9987840942564,0.00435781047559382
3364,"-69.51508151064999,-22.35121799785","-69.515102698,-22.3512092818","-69.5151026976,-22.3512267147","-69.5150603233,-22.3512267139","-69.5150603237,-22.351209281",179.99878411378444,0.00435780978758339
3365,"-69.51508151025001,-22.3512354307","-69.5151026976,-22.3512267147","-69.5151026972,-22.3512441475","-69.5150603229,-22.3512441467","-69.5150603233,-22.3512267139",179.99878410696186,0.004357809242402748
3366,"-69.51508150985,-22.351252863550002","-69.5151026972,-22.3512441475","-69.5151026968,-22.3512615804","-69.5150603225,-22.3512615796","-69.5150603229,-22.3512441467",179.99878411408844,0.004357808697221703
