name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
57,"-69.500575757,-22.333297391050003","-69.5005858849,-22.3332782859","-69.5005859189,-22.3332878227","-69.5005656291,-22.3333164962","-69.5005655951,-22.3333069594",180.18894434697455,0.003810599227392874
58,"-69.50057589312499,-22.333335538449997","-69.500586021,-22.3333164333","-69.5005860551,-22.3333259701","-69.5005657652,-22.3333546436","-69.5005657312,-22.3333451068",180.18922207243907,0.0038106017314338374
59,"-69.50057602927501,-22.333373685825","-69.5005861572,-22.3333545806","-69.5005861912,-22.3333641175","-69.5005659014,-22.333392791","-69.5005658673,-22.3333832542",180.18922110073933,0.003810606070780673
60,"-69.500576165425,-22.3334118332","-69.5005862933,-22.333392728","-69.5005863274,-22.3334022649","-69.5005660375,-22.3334309384","-69.5005660035,-22.3334214015",180.18922005563655,0.003810601106231833
61,"-69.50057630155,-22.3334499806","-69.5005864295,-22.3334308754","-69.5005864635,-22.3334404123","-69.5005661736,-22.3334690858","-69.5005661396,-22.3334595489",180.18894215902293,0.0038106036095357718
62,"-69.500576437675,-22.333488127975","-69.5005865656,-22.3334690228","-69.5005865996,-22.3334785596","-69.5005663098,-22.3335072332","-69.5005662757,-22.3334976963",180.18922097791076,0.003810605132418065
63,"-69.500576573825,-22.333526275349996","-69.5005867017,-22.3335071702","-69.5005867358,-22.333516707","-69.5005664459,-22.3335453805","-69.5005664119,-22.3335358437",180.18922184901302,0.003810600167694499
64,"-69.50057670995,-22.333564422749998","-69.5005868379,-22.3335453176","-69.5005868719,-22.3335548544","-69.500566582,-22.3335835279","-69.500566548,-22.3335739911",180.1889440204755,0.003810602671889209
65,"-69.500576846075,-22.333602570125002","-69.500586974,-22.3335834649","-69.500587008,-22.3335930018","-69.5005667182,-22.3336216753","-69.5005666841,-22.3336121385",180.18922079017818,0.0038106041947682636
66,"-69.500576982225,-22.3336407175","-69.5005871101,-22.3336216123","-69.5005871442,-22.3336311492","-69.5005668543,-22.3336598227","-69.5005668203,-22.3336502858",180.18921974498147,0.003810599230214452
67,"-69.50057711835,-22.333678864875","-69.5005872463,-22.3336597597","-69.5005872803,-22.3336692965","-69.5005669904,-22.3336979701","-69.5005669564,-22.3336884332",180.18894287485193,0.0038106063858587315
68,"-69.50053532282499,-22.333287978974997","-69.5005873824,-22.3336979071","-69.5005874165,-22.3337074439","-69.5004832632,-22.3328780509","-69.5004832292,-22.332868514",180.18922118089466,0.09284439099948041
69,"-69.50049352719999,-22.3328970931","-69.5005036551,-22.3328779879","-69.5005036891,-22.3328875248","-69.5004833993,-22.3329161983","-69.5004833653,-22.3329066614",180.18894283728628,0.0038106025076112366
70,"-69.5004936633,-22.332935240475003","-69.5005037912,-22.3329161353","-69.5005038252,-22.3329256721","-69.5004835354,-22.3329543457","-69.5004835014,-22.3329448088",180.18894381161078,0.0038106068469667756
71,"-69.5004937994,-22.33297338785","-69.5005039273,-22.3329542827","-69.5005039613,-22.3329638195","-69.5004836715,-22.332992493","-69.5004836375,-22.3329829562",180.1889447858407,0.0038106018818566158
72,"-69.500493935525,-22.33301153525","-69.5005040634,-22.3329924301","-69.5005040975,-22.3330019669","-69.5004838076,-22.3330306404","-69.5004837736,-22.3330211036",180.1892226180317,0.003810604386077762
73,"-69.50049407165,-22.333049682625003","-69.5005041995,-22.3330305774","-69.5005042336,-22.3330401143","-69.5004839438,-22.3330687878","-69.5004839097,-22.333059251",180.18949942122453,0.003810605908781699
74,"-69.500494207775,-22.333087829999997","-69.5005043357,-22.3330687248","-69.5005043697,-22.3330782617","-69.5004840799,-22.3331069352","-69.5004840458,-22.3330973983",180.18922053043775,0.0038106037608836773
75,"-69.500494343875,-22.3331259774","-69.5005044718,-22.3331068722","-69.5005045058,-22.3331164091","-69.500484216,-22.3331450826","-69.5004841819,-22.3331355457",180.18922040785915,0.0038106034478853556
76,"-69.500494479975,-22.333164124775003","-69.5005046079,-22.3331450196","-69.5005046419,-22.3331545564","-69.5004843521,-22.33318323","-69.500484318,-22.3331736931",180.1892213468193,0.0038106077870739274
