name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
69,"-68.576958715,-24.0268188713","-68.5769800594,-24.0266218952","-68.5769787697,-24.0270159618","-68.5769373704,-24.0270158475","-68.5769386603,-24.0266217809",179.82870004336763,0.0042045401461407485
70,"-68.5768426792,-24.0268185509","-68.5768640238,-24.0266215748","-68.5768627337,-24.0270156413","-68.5768213344,-24.027015527","-68.5768226247,-24.0266214604",179.82864669530187,0.0042045401734376806
71,"-68.5767266434,-24.0268182304","-68.5767479882,-24.0266212543","-68.5767466978,-24.0270153208","-68.5767052985,-24.0270152064","-68.5767065891,-24.0266211399",179.82860650703918,0.004204540200736219
72,"-68.5766106076,-24.0268179097","-68.5766319526,-24.0266209336","-68.5766306618,-24.0270150002","-68.5765892625,-24.0270148858","-68.5765905535,-24.0266208192",179.8285539148141,0.004204540211225679
73,"-68.5764945718,-24.026817589","-68.576515917,-24.026620613","-68.5765146258,-24.0270146795","-68.5764732266,-24.0270145651","-68.5764745179,-24.0266204985",179.82850714554007,0.0042045351604622465
74,"-68.5763785361,-24.0268172682","-68.5763998814,-24.0266202922","-68.5763985899,-24.0270143587","-68.5763571906,-24.0270142442","-68.5763584823,-24.0266201777",179.828460380872,0.0042045402651464826
75,"-68.5761421135,-24.0281433379","-68.5761634595,-24.027946362","-68.5761621672,-24.0283404284","-68.5761207675,-24.0283403139","-68.57612206,-24.0279462474",179.8283561526968,0.004204537524569851
76,"-68.5760260766,-24.0281430168","-68.5760474227,-24.0279460409","-68.57604613,-24.0283401073","-68.5760047304,-24.0283399928","-68.5760060232,-24.0279459263",179.82831009421312,0.004204532457767098
77,"-68.5759100396,-24.0281426957","-68.575931386,-24.0279457197","-68.5759300929,-24.0283397862","-68.5758886932,-24.0283396716","-68.5758899864,-24.0279456051",179.82825679522296,0.004204542640468689
78,"-68.5757940027,-24.0281423744","-68.5758153492,-24.0279453985","-68.5758140558,-24.0283394649","-68.5757726561,-24.0283393503","-68.5757739496,-24.0279452839",179.82821727605267,0.004204542650979035
79,"-68.5756779657,-24.028142053","-68.5756993124,-24.0279450772","-68.5756980187,-24.0283391436","-68.575656619,-24.0283390289","-68.5756579128,-24.0279449625",179.8281764176131,0.004204542695928237
80,"-68.5755619288,-24.0281417316","-68.5755832756,-24.0279447557","-68.5755819815,-24.0283388222","-68.5755405818,-24.0283387075","-68.5755418761,-24.027944641",179.82811724523503,0.0042045376276775666
81,"-68.5754458918,-24.0281414101","-68.5754672389,-24.0279444342","-68.5754659444,-24.0283385006","-68.5754245447,-24.0283383859","-68.5754258393,-24.0279443195",179.82807114887223,0.004204542716964088
82,"-68.5753298549,-24.0281410885","-68.5753512021,-24.0279441126","-68.5753499073,-24.028338179","-68.5753085076,-24.0283380643","-68.5753098025,-24.0279439979",179.82803167370292,0.004204542726763664
83,"-68.5752138179,-24.0281407668","-68.5752351653,-24.0279437909","-68.5752338702,-24.0283378574","-68.5751924705,-24.0283377426","-68.5751937658,-24.0279436762",179.82798494808782,0.004204537676836746
84,"-68.575097781,-24.028140445","-68.5751191286,-24.0279434692","-68.575117833,-24.0283375356","-68.5750764334,-24.0283374208","-68.575077729,-24.0279433544",179.8279316013331,0.004204537703529625
85,"-68.5749817441,-24.0281401231","-68.5750030918,-24.0279431473","-68.5750017959,-24.0283372137","-68.5749603962,-24.0283370989","-68.5749616922,-24.0279430325",179.82788554654422,0.004204542792089816
