name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
67,"-70.7935703048,-33.0935174378","-70.7935900131,-33.0939148757","-70.793566749,-33.0939152105","-70.7935505966,-33.0931199999","-70.7935738605,-33.0931196651",180.97492897635868,0.002167522804217543
68,"-70.79351910685,-33.0935181746","-70.7935388149,-33.0939156125","-70.7935155508,-33.0939159473","-70.7934993989,-33.0931207367","-70.7935226628,-33.0931204019",180.97489881369702,0.0021675227860569243
69,"-70.79346790885,-33.093518911400004","-70.7934876167,-33.0939163493","-70.7934643526,-33.0939166841","-70.7934482011,-33.0931214735","-70.793471465,-33.0931211387",180.97487468175643,0.0021675227672344807
70,"-70.79341671087501,-33.0935196482","-70.7934364185,-33.0939170861","-70.7934131544,-33.0939174209","-70.7933970033,-33.0931222103","-70.7934202673,-33.0931218755",180.97484753280966,0.002167527405676088
71,"-70.793365512875,-33.09352038495","-70.7933852203,-33.0939178229","-70.7933619561,-33.0939181577","-70.7933458056,-33.093122947","-70.7933690695,-33.0931226122",180.9748172472465,0.0021675273881363597
72,"-70.79331431485,-33.09352112169999","-70.793334022,-33.0939185597","-70.7933107579,-33.0939188944","-70.7932946078,-33.0931236837","-70.7933178717,-33.093123349",180.97478992513533,0.002167522521798506
73,"-70.7932631169,-33.09352185842501","-70.7932828238,-33.0939192964","-70.7932595597,-33.0939196312","-70.7932434101,-33.0931244204","-70.793266674,-33.0931240857",180.97475978904689,0.002167522598463006
74,"-70.7932119189,-33.093522595124995","-70.7932316256,-33.0939200331","-70.7932083615,-33.0939203679","-70.7931922123,-33.0931251571","-70.7932154762,-33.0931248224",180.97473565748456,0.002167522580959892
75,"-70.79316072087501,-33.093523331775","-70.7931804274,-33.0939207698","-70.7931571632,-33.0939211045","-70.7931410145,-33.0931258938","-70.7931642784,-33.093125559",180.9747085085423,0.0021675272206868774
76,"-70.793109522875,-33.09352406845","-70.7931292291,-33.0939215065","-70.793105965,-33.0939218412","-70.7930898167,-33.0931266304","-70.7931130807,-33.0931262957",180.97467819565077,0.0021675271064313245
77,"-70.7930583249,-33.093524805075","-70.7930780309,-33.0939222431","-70.7930547668,-33.0939225779","-70.793038619,-33.093127367","-70.7930618829,-33.0931270323",180.9746510765656,0.002167522527150936
78,"-70.793007126875,-33.093525541700004","-70.7930268327,-33.0939229798","-70.7930035685,-33.0939233145","-70.7929874212,-33.0931281036","-70.7930106851,-33.0931277689",180.97462377857647,0.0021675270700900707
79,"-70.792955928875,-33.0935262783","-70.7929756344,-33.0939237164","-70.7929523703,-33.0939240511","-70.7929362234,-33.0931288402","-70.7929594874,-33.0931285055",180.9745936155188,0.0021675270513078562
80,"-70.7929047309,-33.093527014875","-70.7929244362,-33.093924453","-70.7929011721,-33.0939247876","-70.7928850257,-33.0931295768","-70.7929082896,-33.0931292421",180.97456644170546,0.0021675222811074722
81,"-70.792853532875,-33.0935277514","-70.792873238,-33.0939251895","-70.7928499738,-33.0939255242","-70.7928338279,-33.0931303133","-70.7928570918,-33.0931299786",180.97453932053753,0.002167527015625334
82,"-70.79280233485,-33.09352848795","-70.7928220397,-33.0939259261","-70.7927987756,-33.0939262607","-70.7927826301,-33.0931310498","-70.792805894,-33.0931307152",180.97451199803703,0.0021675221486875686
