name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
67,"-70.2999570704,-25.1262072944","-70.2999726612,-25.1260451552","-70.2999760902,-25.1263691301","-70.2999414795,-25.1263694337","-70.2999380505,-25.1260454588",180.54908269492722,0.0034845289740453016
68,"-70.2998766869,-25.1262079995","-70.2998922778,-25.1260458603","-70.2998957067,-25.1263698352","-70.2998610959,-25.1263701388","-70.2998576672,-25.1260461638",180.54905003587336,0.0034845289000692238
69,"-70.2997932509,-25.1262087313","-70.2998088419,-25.1260465921","-70.2998122705,-25.126370567","-70.2997776598,-25.1263708706","-70.2997742312,-25.1260468957",180.54901924008965,0.003484528933065223
70,"-70.2997159199,-25.1262094096","-70.2997315111,-25.1260472703","-70.2997349395,-25.1263712453","-70.2997003287,-25.12637154880001","-70.2996969004,-25.1260475739",180.5489786442282,0.0034845338940878864
71,"-70.2996375714,-25.1262100967","-70.2996531627,-25.1260479575","-70.2996565909,-25.1263719324","-70.2996219801,-25.1263722359","-70.299618552,-25.126048261",180.54894615509295,0.00348453381991618
72,"-70.2995582055,-25.1262107927","-70.2995737968,-25.1260486535","-70.2995772248,-25.1263726284","-70.2995426141,-25.1263729319","-70.2995391862,-25.12604895699999",180.54891444276578,0.0034845237337635965
73,"-70.2994776176,-25.1262114994","-70.2994932091,-25.1260493601","-70.2994966369,-25.1263733351","-70.2994620261,-25.1263736386","-70.2994585984,-25.1260496636",180.54888253256928,0.003484533780628133
74,"-70.300914225,-25.1265516877","-70.3009298146,-25.1263895484","-70.3009332462,-25.1267135231","-70.3008986353,-25.126713827","-70.3008952038,-25.1263898522",180.54949011912183,0.003484534521867493
75,"-70.3008348588,-25.1265523844","-70.3008504485,-25.1263902451","-70.3008538799,-25.1267142199","-70.3008192691,-25.1267145237","-70.3008158377,-25.1263905489",180.54946540008132,0.0034845294146036085
76,"-70.3007554926,-25.126553081","-70.3007710824,-25.1263909417","-70.3007745136,-25.1267149165","-70.3007399028,-25.1267152203","-70.3007364717,-25.1263912455",180.54942574792295,0.003484524361237187
77,"-70.3006761265,-25.12655377760001","-70.3006917164,-25.1263916384","-70.3006951474,-25.1267156131","-70.3006605365,-25.1267159169","-70.3006571056,-25.1263919421",180.5493932464276,0.003484534354462983
78,"-70.3005995873,-25.1265562837","-70.3006151773,-25.1263941444","-70.3006186081,-25.1267181192","-70.3005839972,-25.126718423","-70.3005805665,-25.1263944482",180.54936227190524,0.0034845343368804134
79,"-70.3005176178,-25.1265540377","-70.300533208,-25.1263918984","-70.3005366385,-25.12671587319999","-70.3005020277,-25.126716177","-70.3004985972,-25.12639220220001",180.54932263493225,0.0034845293674587692
80,"-70.3004362166,-25.126554752","-70.3004518069,-25.1263926128","-70.3004552372,-25.1267165876","-70.3004206264,-25.1267168913","-70.3004171961,-25.1263929165",180.5492892144844,0.003484529239294782
81,"-70.3002775881,-25.1265588954","-70.3002931785,-25.1263967561","-70.3002966084,-25.126720731","-70.3002619976,-25.1267210347","-70.3002585677,-25.1263970598",180.54922558088083,0.003484529121127375
82,"-70.3003568505,-25.1265554485","-70.3003724408,-25.1263933092","-70.3003758709,-25.126717284","-70.3003412601,-25.1267175877","-70.30033783,-25.1263936129",180.54925748674992,0.0034845292194332906
83,"-70.3001982219,-25.1265595918","-70.3002138124,-25.1263974525","-70.3002172422,-25.1267214274","-70.3001826313,-25.126721731","-70.3001792017,-25.1263977562",180.54919309084005,0.0034845290473796177
84,"-70.3001150568,-25.1265583852","-70.3001306474,-25.1263962459","-70.3001340769,-25.1267202208","-70.3000994661,-25.1267205245","-70.3000960367,-25.1263965496",180.54915421150875,0.003484524102179235
85,"-70.3000377256,-25.12655906359999","-70.3000533164,-25.1263969244","-70.3000567457,-25.1267208992","-70.3000221348,-25.1267212029","-70.3000187056,-25.126397228",180.5491217080001,0.0034845340959417078
86,"-70.2999593769,-25.1265597509","-70.2999749678,-25.1263976117","-70.2999783969,-25.1267215866","-70.299943786,-25.1267218902","-70.299940357,-25.1263979153",180.5490890500826,0.003484534022467292
87,"-70.2998789932,-25.126560456","-70.2998945842,-25.1263983168","-70.2998980131,-25.1267222917","-70.2998634022,-25.1267225953","-70.2998599734,-25.1263986204",180.5490573233232,0.003484534002357641
88,"-70.299795557,-25.1265611879","-70.299811148,-25.1263990486","-70.2998145767,-25.1267230235","-70.2997799658,-25.1267233271","-70.2997765373,-25.1263993522",180.54901767105645,0.0034845289479872926
89,"-70.2997182258,-25.1265618661","-70.299733817,-25.1263997269","-70.2997372454,-25.1267237018","-70.2997026346,-25.1267240054","-70.2996992062,-25.1264000304",180.54898501221146,0.003484528874800173
