name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
176,"-69.5273603656,-22.3311208653","-69.527381553,-22.3311121496","-69.5273815524,-22.3311295824","-69.5273391782,-22.331129581","-69.5273391788,-22.3311121482",179.99817585860768,0.00435842773660701
177,"-69.52736036495,-22.33113829815","-69.5273815524,-22.3311295824","-69.5273815517,-22.3311470153","-69.5273391775,-22.3311470139","-69.5273391782,-22.331129581",179.99787192164825,0.004358427192623599
178,"-69.527360364275,-22.331155731050004","-69.5273815517,-22.3311470153","-69.527381551,-22.3311644482","-69.5273391769,-22.3311644468","-69.5273391775,-22.3311470139",179.99802388605127,0.004358421505032536
179,"-69.52736036362501,-22.3311731639","-69.527381551,-22.3311644482","-69.5273815504,-22.331181881","-69.5273391762,-22.3311818796","-69.5273391769,-22.3311644468",179.99802389430153,0.00435842095958665
180,"-69.52736036294999,-22.331190596749998","-69.5273815504,-22.331181881","-69.5273815497,-22.3311993139","-69.5273391755,-22.3311993125","-69.5273391762,-22.3311818796",179.9978718837686,0.0043584255570152134
181,"-69.527360362275,-22.33120802965","-69.5273815497,-22.3311993139","-69.527381549,-22.3312167468","-69.5273391749,-22.3312167454","-69.5273391755,-22.3311993125",179.99802390613075,0.0043584198694248686
182,"-69.5273603616,-22.331225462549998","-69.527381549,-22.3312167468","-69.5273815483,-22.3312341797","-69.5273391742,-22.3312341783","-69.5273391749,-22.3312167454",179.997871864962,0.004358414182565596
183,"-69.527360360925,-22.331242895400003","-69.5273815483,-22.3312341797","-69.5273815477,-22.3312516125","-69.5273391735,-22.3312516111","-69.5273391742,-22.3312341783",179.9980238952894,0.004358418781452687
184,"-69.527360360275,-22.33126032825","-69.5273815477,-22.3312516125","-69.527381547,-22.3312690454","-69.5273391729,-22.331269044","-69.5273391735,-22.3312516111",179.99802390687205,0.004358418236736903
185,"-69.5273603596,-22.331277761149998","-69.527381547,-22.3312690454","-69.5273815463,-22.3312864783","-69.5273391722,-22.3312864769","-69.5273391729,-22.331269044",179.9978719044375,0.004358412549147515
186,"-69.52736035895,-22.331295194000003","-69.5273815463,-22.3312864783","-69.5273815457,-22.3313039111","-69.5273391716,-22.3313039097","-69.5273391722,-22.3312864769",179.99817588022654,0.0043584120037000905
